EmployeeID,FirstName,MiddleInitial,LastName,BirthDate,Gender,CityID,HireDate
1,Nicole,T,Fuller,07-03-1981,F,80,15:36.9
2,Christine,W,Palmer,25-01-1968,F,4,07:56.9
3,Pablo,Y,Cline,09-02-1963,M,70,55:23.3
4,Darnell,O,Nielsen,06-02-1989,M,39,55:02.8
5,Desiree,L,Stuart,03-05-1963,F,23,59:54.7
6,Holly,E,Collins,13-01-1987,M,65,20:18.1
7,Chadwick,P,Cook,02-05-1970,M,39,22:00.7
8,Julie,E,Dyer,13-12-1956,M,18,12:53.4
9,Daphne,X,King,02-05-1956,F,39,48:02.7
10,Jean,P,Vang,30-12-1963,M,9,02:12.6
11,Sonya,E,Dickson,14-01-1976,F,12,59:30.4
12,Lindsay,M,Chen,03-09-1951,F,58,44:25.4
13,Katina,Y,Marks,18-04-1963,M,68,43:52.9
14,Wendi,G,Buckley,05-09-1961,M,32,57:58.3
15,Kari,D,Finley,17-02-1972,M,92,50:11.8
16,Chadwick,U,Walton,07-07-1951,M,28,21:26.6
17,Seth,D,Franco,29-08-1989,M,80,23:03.5
18,Warren,C,Bartlett,09-03-1964,M,58,55:48.6
19,Bernard,L,Moody,22-03-1970,M,54,25:04.4
20,Shelby,P,Riddle,13-06-1964,M,14,36:50.0
21,Devon,D,Brewer,25-04-1966,M,65,13:24.3
22,Tonia,O,Mc Millan,02-03-1952,F,53,18:23.5
23,Janet,K,Flowers,01-03-1979,F,7,52:30.4
